tweet,label
* Pintu Nusantara Untuk AHY Pasca Pilgub Jakarta http://dlvr.it/NP2srV pic.twitter.com/TBdcxAmydy,netral
* Pintu Nusantara Untuk AHY Pasca Pilgub Jakarta http://dlvr.it/NP2srF pic.twitter.com/Gvqvjc7neS,netral
Gw ga tau apa motivasi bapak ikut pilgub kali ini. Tp klo bukan utk melayani rakyat jakarta mending ga usah.,negatif
Ini yg Asli hasil Pilgub DKI jakarta putaran 1. Kalau yang di TV palsu. Apalagi Metro TV paling palsu.,negatif
Bawaslu RI: Pelanggaran Pilgub Terbanyak Terjadi di DKI Jakarta http://limadetik.com/2017/02/16/bawaslu-ri-pelanggaran-pilgub-terbanyak-terjadi-di-dki-jakarta/ …pic.twitter.com/s8uKIG2IRB,negatif
#pilgub jakarta 2 putaran pilih pemimpin sesuai dgn hati nurani..pilih yg sdh kerja nyata bukan yg baru janji..salam 2 jari,positif
"bekasi pie bos?? Kok sibuk ngurusi jakarta terus, ato jangan2 masih sakit hati ga bisa ikut pilgub dki? ",negatif
"Polling Pilgub DKI Jakarta 2017, Siapa Pilihanmu?; I voted Agus-Sylviana, https://goo.gl/z16kpm  #poll lewat @opinionstage",netral
Ikut ramein #MudaPilihAgus  Kelebihan yang Dimiliki AHY Dalam Pilgub DKI Jakarta http://www.akuraik.com/2016/12/kelebihan-yang-dimiliki-ahy-dalam.html … Follow ya...pic.twitter.com/ywhqsLhfAR,positif
"""Ahok, Pertemanan Politik, dan Demokrasi http://indeks.or.id/2016/12/18/ahok-pertemanan-politik-dan-demokrasi-bagian-pertama-tentang-teman-dan-musuh-dalam-politik/ … #temanahok #pilgubjakarta #ahy #aniesbaswedan #Indonesia #damai #filsafat…",netral
"Ahok, Pertemanan Politik, dan Demokrasi http://indeks.or.id/2016/12/18/ahok-pertemanan-politik-dan-demokrasi-bagian-pertama-tentang-teman-dan-musuh-dalam-politik/ … #temanahok #pilgubjakarta #ahy #aniesbaswedan #Indonesia #damai #filsafat",netral
domisili jakarta bisa ikut pilgub gak??,netral
Agus-Sylvi Pastikan Tak Akan Hadiri Program Debat… http://dlvr.it/MvlfKF  #Nasional #Politik #_Agus_Sylvi #_Pilgub_Jakarta_2017 #RilitasCompic.twitter.com/jrPDhBb8Wi,negatif
"Dengan segala hormat, terima kasih Pak @AgusYudhoyono lagu jingle 'jakarta untuk rakyat' ternyata sangat disukai. Sukses buat pilgub nanti! pic.twitter.com/akKiZd6CFH",positif
"Preman sewaan mendadak banyak tawaran Job, saat pilgub jakarta. https://twitter.com/chicohakim/status/809950739975913473 …",negatif
Jessica saja pilih nomer 2 di Pilgub Jakarta Haha :))) #KamiAhokpic.twitter.com/1axQFY0Yp9,positif
ini kampanye Pilgub Jakarta,positif
"Polling Pilgub DKI Jakarta 2017, Siapa Pilihanmu? http://fb.me/3fDTxoEDp ",netral
"DEBAT Ahok Vs Anies Baswedan, PILGUB DKI JAKARTA 2017, DEBAT CALON GUBERNUR DKI –… http://www.youtube.com/watch?feature=player_embedded&v=RV9WZWQY-sQ … http://jakartainformer.com/147397/debat-ahok-vs-anies-baswedan-pilgub-dki-jakarta-2017-debat-calon-gubernur-dki-jakarta-video/ …",netral
Nasib Ahok Di Pilgub Jakarta Elektabilitas Petahana Dibawah 30% Biasanya Kalah: http://youtu.be/4FYJXgphLF4?a  via @YouTube,negatif
Topik: Pilgub DKI Jakarta http://m.tribunnews.com/topics/pilgub-dki-jakarta?url=metropolitan/2016/12/16/kata-peneliti-ini-lebih-penting-dialog-dengan-rakyat-bukan-terlihat-debat-di-televisi … via @tribunnews peneliti ini ada sewotnya terhadap ahok?! Ada apa k???,netral
Pilkada DKI Jakarta: Pilgub Serasa Pilpres http://www.klikberita.co.id/politik/pilkada-dki-jakarta-pilgub-serasa-pilpres.html …,negatif
GEMPAR !!! Pengamat Hukum BONGKAR Nasib Ahok di Pilgub Jakarta Berita Terbaru: http://youtu.be/hPx27n8Toxg?a  melalui @YouTube,negatif
"Ini Pilgub jakarta 2 calon atau 3 calonnya, Di hutan kalau cari kayu yang lurus, jadi kalau jalan lurus ya wajar... http://fb.me/7sl8MaCwe ",netral
"Gw sih suka nonton debat, tapi untuk Pilgub Jakarta ga ngerasa perlu, yang gw pilih diantara @basuki_btp & @aniesbaswedan track recnya jelas",positif
"Udah balik lg ahh gk mau bahas pilgub Jakarta, lg syedihh kondisi #aleppo lg sedih juga #rohingya",negatif
"Polling Pilgub DKI Jakarta 2017, Siapa Pilihanmu?; I voted Agus-Sylviana, https://goo.gl/z16kpm  #poll lewat @opinionstage",netral
Ikut ramein #MudaPilihAgus  Kelebihan yang Dimiliki AHY Dalam Pilgub DKI Jakarta http://www.akuraik.com/2016/12/kelebihan-yang-dimiliki-ahy-dalam.html … Follow ya...pic.twitter.com/ywhqsLhfAR,positif
"Thanks @Rosianna766Hi ,great show malam ini debat pemimpin jakarta.berimbang dan mendidik...jd calon pilgub cuma ada 2 ya? ",positif
Petarung pilgub di DKI Jakarta ternyata cuman DUA. Memang cuman no DUA yg keren & paling potensial menang serta nggak perlu DUA putaran.,positif
"Calon pilgub DKI JAKARTA telah memperlihatkan kebolehan nya direalita, ada baiknya kita memilih yang sudah PASTI @KompasTV #CagubDKIdiRosi",positif
"Calon pilgub DKI JAKARTA telah memperlihatkan kebolehan nya direalita, ada baiknya kita memilih yang sudah PASTI @KompasTV @CagubDKIdiRosi",positif
mas Alitt melu coblosan pilgub gak? KTP udh ganti Jakarta opo iseh Sragentina mas?,netral
Ini ternyata arah dukungan Rhoma Irama di Pilgub DKI Jakarta http://ouo.io/qzahKR pic.twitter.com/CxvfKyaDQY,positif
"Yang takut debat pilgub ga usah dipih, berarti calon ga mutu...rugi kalo jadi, ga punya konsep membangun jakarta ke depan",negatif
"bagus video anies-sandi, variatif, bisa melihat problem jakarta lebi kompherensif. fix pilgub saya mo milih anies-sandi #CagubDKIdiRosi",positif
Ko berasa yg ikut pilgub jakarta it ya cm pak anies&pak ahok ya tum... @PartaiSocmed,netral
Emang Pilgub DKI Jakarta hanya di ikuti oleh 2 Cagub ya?,netral
Pilgub DKI Jakarta ternyata diikuti 2 penjual kecap pemberani dan 1 penjual kecap yang (lagi-lagi) tidak berani… — https://path.com/p/4lg9vk ,negatif
"subhannallah,luar biasa mas agus stiap kamapanye,masarakat jakarta menyambutnya,semoga menang di pilgub DKI amin",positif
"Temen yg pas pilgub niat ambil cuti plg ke jakarta, khusus buat coblos AHY. Jdi ragu stlh AHY gk dtg 2x ke acara debat #AHYTakutDebatLagi",negatif
Pilgub DKI Jakarta akan satu putaran... dan di menangkan Basuki-Djarot..!!! Karna kalau dua putaran nanti pusiiing.. cc @budimandjatmiko,positif
Hasil survei Lembaga Survei Indonesia (LSI) terkait pilgub DKI Jakarta #Primetimepic.twitter.com/ChpioIoRes,netral
"Peneliti LSI Adjie Alfaraby mengatakan, survei dilakukan untuk menindaklanjuti perkembangan dinamika politik jelang Pilgub DKI Jakarta ...",positif
saya pasti mendukung pak @basuki_btp supaya menang d pilgub nanti dari jauh karna saya bukan warga Jakarta.. Salam 2 jari,positif
#Fokus Anies Baswedan Ajak Anak Muda di Jakarta Memilih di Pilgub DKI - Okezone http://dlvr.it/MtSWxh ,positif
. Semoga di pilgub DKI jakarta memberikan contoh untuk daerah daerah yg lain.,positif
"Yang Pilgub di Jakarta, yang pusing se-Indonesia, kenapa? Karena pusat pemerintahan.

Coba dh pindahin ibukota-nya ke Jasinga.",negatif
: tp penolakan anis trhdp reklamasi bahayakan jakarta pak..serem jg..cb cak lontong ikut pilgub..mending pilih cak lontong..,negatif
Eusabius Binsasi: Ajak Umat Katolik DKI Jakarta Jaga Suasana Kondusif dan Damai Jelang Pilgub http://fb.me/5kqYmYCt8 ,positif
"Kalau #ahok diganjal politik dan gak bisa mencalonkan di #pilgub #dki #jakarta , mending #golput gak usah milih sbg bentuk protes masal",negatif
"Menggelikan!!!, Seribu satu cara dilakukan untuk menjegal Ahok melangkah dalam Pilgub DKI Jakarta
kali ini usaha... http://fb.me/89g9b5HDy ",negatif
JK Ingin Media Televisi Dapat Cairkan Isu SARA di Pilgub DKI: Jakarta - Wakil Presiden… https://goo.gl/fb/TlXfXX ,positif
"Ini sepertinya yg tak follow orang Jakarta semua, kebak demam pilgub",netral
"Saya warga jakarta tapi gak merasa pilgub seru, seriusan...",negatif
Putra Hamzah Haz Tepis Kakak Ipar Soal Ahok: Bapak Netral di Pilgub DKI: Jakarta - Menantu… https://goo.gl/fb/pLwFrZ ,netral
Kapankah TL Twitter saya akan kembali netral dari semua kepolittikan dan Pilgub Jakarta ini ,netral
Berapa banyak Pemilih Muda di Pilgub DKI Jakarta dan seperti apa gubernur yang mereka mau @AgusYudhoyono @AhokDjarot @aniesbaswedanhttps://twitter.com/infonawacita/status/808640063647035393 …,netral
"Hi.....Warga Jakarta

*Ini kerugian kita kalo ga pilih Basuki Djarot di pilgub DKI 2017 :*

1. PBB tdk lagi… — https://path.com/p/4ApTnG ",positif
"Pilih nomor 1 di pilgub februari nanti,dan jgn lupa Download Ayo Jakarta di playstore kalian. @AYOJakarta2017pic.twitter.com/HdzMYqamVH",positif
Yusril: Saya Dukung Ahok Tetap Maju Pilgub DKI: Jakarta - Basuki Tjahaja Purnama (Ahok) dan… https://goo.gl/fb/X5eT3M ,positif
Waspada warga Jakarta marak buku penyesatan seperti ini menjelang Pilgub!,negatif
Mari ramaikan dan berdoa utk AHY agar pilgub 2017 dapat hasil yg baik.. Download Ayo Jakarta https://goo.gl/94vKVS ,positif
Yg ditunggu dari pilgub Jakarta  adalah saat debat antar kandidat,positif
"Penasehat Hukum: tujuan utama tekanan massa adalah utk memangkas Ahok dr kompetisi pilgub DKI Jakarta. | @kuchuls 

http://s.rplr.co/cMfiYTj ",negatif
"Kalo cuma urusan pilgub, nggak mungkib orang Ciamis rela jalan kaki ratusan kilo, jutaan muslim ke Jakarta! Ini urusan Tauhid!! Buka MATA!! https://twitter.com/theopils/status/808164116909035520 …",netral
'Perang' Artis di Pilgub DKI Jakarta 2017 http://goo.gl/7sEler ,negatif
padahal awal rencananya sidang A hok akan dilakukan pada bulan februari 2017 setelah pilgub DKI Jakarta,netral
PENDUKUNG NO 3 MASUK..!! PASANGAN NO URUT #3 PILGUB JAKARTA Kampanye di CIRACAS: http://youtu.be/DoQi1iRFJ70?a  via @YouTube,positif
Pilgub jakarta rasa pilpres nih..debatnya aja tayang di tv nasional ,netral
Ada apa dengan AHY?2 acara yg ditonton ttg Pilgub DKI beliau dan timnya gk ikut? Gk ada Jubirnya di Mata Najwa dan Orangnya di Jakarta Kece?,negatif
"Yg menarik dari pilgub Jakarta, ketiga calon punya karakter berbeda yg dibutuhkan. Bisa dibayangkan kalo semuanya jadi tim #JakartaKece",positif
Pilgub rasa pilpres. Wajar karena jakarta adalah wajah pertama yang muncul dari nama Indonesia. #JakartaKece,positif
"Sebagai penonton Net TV, Net emang kece. Bahkan saat menyajikan tntang Pilgub Jakarta yg sensitif. *Sayang agus ga dateng",positif
Debat pilgub Jakarta di @netmediatama  yang ikut hanya 2 cagub.. Anakmu minggat neng endi pak @SBYudhoyono?,netral
Tum di @netmediatama ada program adu visi misi pilgub Jakarta tapi nomor urut 1 ga dateng @PartaiSocmed,negatif
"Harapan saya terhadap Ahok menang pd pengadilan dan pilgub DKI, Jakarta akan jaya bersama Ahok",positif
Saya suka video @YouTube http://youtu.be/pIhsGxMCgWI?a  Curhatan Ridwan Kamil dengan Aa Gym Mengenai PILGUB JAKARTA dan Alasan tdk mencalon,netral
Ahok-Djarot Akan Gunakan Cara Ini agar Menang Pilgub DKI Jakarta http://www.tribunnews.com/metropolitan/2016/12/12/ahok-djarot-akan-gunakan-cara-ini-agar-menang-pilgub-dki-jakarta … lewat @tribunnews,positif
"Bahagia itu sederhana, kalau kita sudah punya AHY gubernur Jakarta @AYOJakarta2017 jangan lupa yah pilgub nanti pilih nomor 1",positif
"Detik:  Agus Yudhoyono Berharap Tidak Ada Kecurangan di DPT Pilgub DKI: Cagub DKI Jakarta 2017, Agus… http://dlvr.it/MsQgPp  #NewsTodaypic.twitter.com/UU4mIDKO2I",positif
Mas @AgusYudhoyono mohon doa restunya bersama Mpok @sylviana_murni putri asli Betawi dlm perjuangan Pilgub DKI Jakarta 2017 #MariDoakanAHY”,positif
Untuk membantu mensosialisasikan cagub Agus Harimurti Yudhoyono (AHY) kepada masyarakat DKI Jakarta di pilgub 2017… http://dlvr.it/MsNXxd ,positif
AHY meminta izin dan doa restu dari para sesepuh & senior serta para pemuka agama maju di Pilgub Jakarta #AgusSylviBhinnekaTulen,positif
"Survei Poltracking: Jika Pilgub Digelar Hari Ini, Agus Gubernur DKI: Jakarta - Poltracking… http://goo.gl/fb/qL5iNM ",netral
"suara lu GA ngaruh buat pilih Jakarta,  jadi yah cuma bacot GA ngaruh suara ahok di pilgub lah",negatif
Ayo awasi pilgub DKI Jakarta https://twitter.com/MPabottingi/status/807748863230496769 …,negatif
@victorkamang terlihat salah satu pemain MU mendeklarasikan dukungannya kepada paslon nomor wahid di pilgub DKI Jakarta. pic.twitter.com/vij21agiWA,positif
"saya sih bukan orang Jakarta, tapi di Pilgub Rasa Pilpres ini saya ikut berdo'a. https://twitter.com/IndraYunaidi/status/780620544399974402 …",positif
'Perang' Artis di Pilgub DKI Jakarta 2017 http://goo.gl/7sEler ,negatif
"Warga Jakarta perlu bukti nyata, bukan niat saja. Jkw dl pilgub krn hsl bgs di Solo.",positif
DPR Inginkan Pilgub DKI Jakarta Luber dan Jurdil - Wakil Ketua DPR RI Taufik Kurniawan. http://ow.ly/5DgB507qxxV ,positif
Apa Syarat2 Program 1 M Agus? Bagaimana Dia Akan Mengawasinya?  http://www.infomenia.net/2016/12/begini-kritikan-warga-pulo-gadung-yang.html … #kamiahok #ahy #pilgub #jakarta,netral
"Di pilgub Jakarta gw suka calon M, gw gak suka calon N jg gak bs dijelaskan pakai logika, yg penting gw gak menghina calon lainnya",netral
Pemenang Pilgub DKI Jakarta @aniesbaswedan dan @sandiuno #JakartaBahagia pic.twitter.com/93E4Or1uP5,positif
"Debat pilgub jakarta ??

Buat apa wong gue orang Semarang  https://twitter.com/bambangelf/status/807481263753809920 …",netral
"Bagi para bakal calo pilgub, tolong jangan bodohi rakyat jakarta dengan iming- iming yang berlebihan, mereka hanya butuh tempat tinggal !!",negatif
Ini yg bilang mantan pimpinan kpk loh.. meski masuk dewan pakar capslon pilgub jakarta.. pic.twitter.com/swhxFmbik7,negatif
Sarapan sari roti minum equil nonton metro tv berita Pilgub Jakarta pakai baju kotak2 baca koran kompas #LongWeekends,netral
"Uang bukan piliang, eh, pilihan dlm pilgub DKI Jakarta. Rakyat Jakarta lbh mengedepankan rasio, ketimbang uncang2 dan kambuik kosong.",positif
"3. Tersangka kasus dugaan penistaan agama, Ahok saat ini brstatus gubernur nonaktif DKI Jakarta krn maju di Pilgub DKI 2017
#JokowiPecatAhok",negatif
'Perang' Artis di Pilgub DKI Jakarta 2017 https://goo.gl/7sEler ,negatif
"Nasional | Pilgub DKI Jakarta Akan Perebutkan 7, 1 Juta Pemilih http://www.jitunews.com/read/48810/pilgub-dki-jakarta-akan-perebutkan-7-1-juta-pemilih … #BeritaJitu",netral
kok beliau engga mencalon di pilgub jakarta ya  =D http://fb.me/8d83WC4Jv ,negatif
"Utk selalu update berita cagub Pilgub DKI Jakarta, install aplikasi Android di playstore http://fb.me/1GyOy3e3U ",netral
Relawan Matahari Jakarta Deklarasi dukung AHOK JAROT Pilgub DKI 2017 https://youtu.be/UvniHVpuNRg  via @YouTube,positif
"Saat ini sedang brlangsung Rapat Pleno terbuka rakapitulasi Penetapan Daftar Pemilih Tetap (DPT) Pilgub DKI 2017,di The Acacia Hotel Jakarta pic.twitter.com/VnZuVKjPiY",positif
Rapat Pleno Terbuka Pilgub DKI Jakarta 2017 (with Rachmat at @hotelacaciajkt) [pic] — https://path.com/p/FYO77 ,netral
"Bodo amat sama pilgub jakarta, saya orang surabaya ga mau tau, saya hanya tidak pernah suka dg org asing yg mengganggu kedaulatan NKRI.",negatif
Hampir terpelatuk karena video parodi Danganronpa x Pilgub Jakarta,netral
"#RepublikaShare: Ramalan dan Branding Pilgub Jakarta 2017
http://republika.co.id/berita/koran/opini-koran/16/09/28/oe7cs31-ramalan-dan-branding-pilgub-jakarta-2017 …",netral
KPU Jakbar Ajak Masyarakat Berpartisipasi Dalam Pilgub DKI Jakarta http://www.menaranews.com/kpu-jakbar-ajak-masyarakat-berpartisipasi-dalam-pilgub-dki-jakarta/ …,positif
visi misi siapakah yg anda pilih di pilgub jakarta ? @SohibAHY @temanAhok  @SobatAniesSandi | https://twitter.com/notif_indonesia/status/806616877514584064 … | #visimisi,netral
jakarta timur mbae. Pos paling seksi buat pilgub krn penduduknya paling rame hahaha,positif
"BUKTINYA NANTI GAMPANG KOQ, TINGGAL TUNGGU BLN FEB 2017 UTK PILGUB DKI JAKARTA. BERANI NGA BIB? GENTLEMAN DIKIT, SPRTI AHOK.",positif
"ini bukan soal pilgub, buktiny yg demo bkn org jakarta doang, ini jg bukan isu agama..tp fakta penistaan, buktiny ud jd tersangka",negatif
KPU Kota Jakarta Timur menetapkan DPT Pilgub DKI 2017 http://kpu-jakartatimurkota.go.id/kpu-kota-jakarta-timur-menetapkan-dpt-pilgub-dki-2017/ …pic.twitter.com/l9it0Be1kO,netral
Simulasi Pilpres di Pilgub DKI Jakarta http://dlvr.it/MqSnFp pic.twitter.com/Mc1hxolibS,netral
Cerita tentang apa yang terjadi di ruang tertutup pada dua hari menjelang penutupan pendaftaran Pilgub DKI Jakarta juga luar biasa.,positif
KPU DKI akan segera rilis jumlah DPT Pilgub 2017 https://goo.gl/fb/IgIWtC  http://ow.ly/lLOX6  #jakarta,netral
"PENETAPAN DPT 

KPU Kota Administrasi Jakarta Selatan, Pilgub DKI Tahun 2017",netral
#Fokus Simulasi Pilpres di Pilgub DKI Jakarta - http://KOMPAS.com  http://dlvr.it/MqGYFK ,netral
"Utk selalu update berita cagub Pilgub DKI Jakarta, install aplikasi Android di playstore http://fb.me/1GyOy3e3U ",positif
Relawan Matahari Jakarta Deklarasi dukung AHOK JAROT Pilgub DKI 2017 https://youtu.be/UvniHVpuNRg  via @YouTube,positif
Ayo fpi demo lg ayo dikebut karna udah mau Pilgub DKI Jakarta jangan smp Ahok ikut tr bandar rugi  ora ngurus demo 1000x udah biasa https://twitter.com/MemeyNeli/status/806096490368118784 …,negatif
# KPU DKI Gelar Penetapan DPT Pilgub 2017 - KPU DKI Jakarta menggelar penetapan DPT untuk Pemilihan Gubernur da... http://ow.ly/bS7L507fVlK ,positif
Skenario Ahok cepat bebas dari dakwaan sebelum Pilgub DKI Jakarta tahun 2017 https://twitter.com/detikcom/status/806077890454355968 …,positif
"Obrolan kami kemarin ttg Jakarta, Ahok, dan pilgub mendatang. Dari Supir Taksi tsb, gw yg asalnya gak tertarik bicarain, jd 'lebih' mengerti",positif
Ahok MENANG atau KALAH di PILGUB JAKARTA tidak berpengaruh dengan Jabatan dan Kedudukannya ... Menang Jadi... http://fb.me/8gNhVdAMk ,positif
"Hahahaha. Baru pada nyadar ya, kl metro tv beritanya gk seimbang? Sdh sejak pilgub jakarta.  #BoikotMetroTV",negatif
"Proses Hukum Ahok Cepat, Kejaksaan Lempar Bola Panas? 
http://ceramahmotivasi.com/berita/proses-hukum-ahok-cepat-kejaksaan-lempar-bola-panas/ …
#ahok #islam #alquran #dki #jakarta #pilkada #pilgub",negatif
Simulasi Pilpres di Pilgub DKI Jakarta http://ift.tt/2gUTmIW ,netral
Kembali berbicara dalam konteks Pilgub Jakarta. #realitas,netral
Jumlah voters pemilihan gubernur (Pilgub) DKI Jakarta 2017 sekitar 6.983.692 voters. Jumlah tersebut tak ada… http://dlvr.it/Mpr80S ,netral
Info Berita Pilgub DKI Jakarta Terbaru 2017 >>HEBOOOOOOOOOH https://plus.google.com/+sidiqbudiyantosolo/posts/H3XuZYpKABM …,netral
"aksi 212 7,5 jt orang yg drop2an dr luar Jakarta 7 jt yg ber KTP DKI 0,5 jt jd Ahok masih harapan menang pilgub @fariji_lacak @RiedsBudionohttps://twitter.com/MSTRSNX/status/805763076158930946 …",positif
Global Base Review: Ahok Akan Kalah Dalam Pilgub DKI Jakarta http://fb.me/669iWS0dl ,negatif
INFO PILGUB DKI JAKARTA TERBARU | BERITA PILGUB DKI... http://youtu.be/rtiTR0k7NZ4?a ,netral
Saya suka video @YouTube dari @bisnisukm_info http://youtu.be/2LyYw8QoTPQ?a  INFO PILGUB DKI JAKARTA TERBARU | BERITA PILGUB DKI 2017,positif
INFO PILGUB DKI JAKARTA TERBARU | BERITA PILGUB DKI... http://youtu.be/2LyYw8QoTPQ?a ,netral
Saya menambahkan video ke playlist @YouTube http://youtu.be/2LyYw8QoTPQ?a  INFO PILGUB DKI JAKARTA TERBARU | BERITA PILGUB DKI 2017,netral
PILGUB DKI 2017 | INFO PILGUB DKI JAKARTA TERBARU FULL (HD): http://youtu.be/cwlZHM-gcPs?a  melalui @YouTube,netral
"Blak-blakan bersama Cagub dan Cawagub DKI Jakarta nomor urut 1 Agus-Sylvi

#pilkada #pilgub… https://www.instagram.com/p/BNn7ggwgJrg/ ",netral
"Selain DKI Jakarta, masih ada 6 provinsi lainnya di seluruh Indonesia yang menggelar pemilihan gubernur (Pilgub)… http://dlvr.it/MpdTf7 ",netral
Kemana Suara “Swing Voters” Pilgub DKI Jakarta? http://indokini.co/2016/12/05/%ef%bb%bf-kemana-suara-swing-voters-pilgub-dki-jakarta/ … via @Indokini.co,negatif
Jakarta lagi panas-panasnya pilgub,negatif
"Memutuskan untuk log out akun path sementara, karena terlalu berat baca2in opini tentang pilgub jakarta -_-",negatif
"Anda hya PLt, ga usah macam2 n buat kontroversi, Jakarta yg sesak akan semakin sesak kl anda bertingkah, ikut pilgub baru sah buat program",negatif
@CumiCue @kompascom @AgusYudhoyono selesai pilgub nnti lbih bnyak di rumah mas agus ngurusin anak biar pak ahok ngurusin jakarta .,negatif
"Kawans, liat lagi survey mutakhir elektabilitas pasangan calon di Pilgub DKI Jakarta. Pilih AGUS-SYLVI https://twitter.com/AYOJakarta2017/status/804923584028151808/photo/1pic.twitter.com/rv5AnhTktI ",netral
"Survei Indikator: Elektabilitas Ahok Turun, Pilgub Diprediksi 2 Putaran: Jakarta… https://goo.gl/fb/X11frP ",negatif
